iter	Logloss
0	0.6598858054
1	0.6319074797
2	0.6100557249
3	0.5904118285
4	0.5735803535
5	0.5587590945
6	0.5460632467
7	0.5350221892
8	0.525623349
9	0.5163734795
10	0.5084951941
11	0.5016562531
12	0.4957278806
13	0.4902040624
14	0.4858445895
15	0.4818625188
16	0.4779642163
17	0.4744989954
18	0.4715934275
19	0.4685121228
20	0.465808313
21	0.4633146512
22	0.4612244194
23	0.4596010609
24	0.4577660771
25	0.4560225543
26	0.4543665335
27	0.4529704749
28	0.4515556171
29	0.4502627688
30	0.4491809378
31	0.4481571121
32	0.4472254996
33	0.4462812493
34	0.4453909649
35	0.4446572951
36	0.4439726077
37	0.4432921096
38	0.4426895786
39	0.4420196906
40	0.4413873678
41	0.4408301628
42	0.4401761041
43	0.4396407106
44	0.4391024197
45	0.4387593789
46	0.4382459424
47	0.4378251936
48	0.4375058253
49	0.437105995
50	0.4367851942
51	0.4364731567
52	0.43609414
53	0.4358105692
54	0.4356031926
55	0.4353653413
56	0.4350751716
57	0.4347371583
58	0.4343734619
59	0.4341795861
60	0.4339063187
61	0.4337401704
62	0.4334941597
63	0.4332905509
64	0.4331018063
65	0.4328903044
66	0.4326864769
67	0.4325014116
68	0.4322526849
69	0.4320930308
70	0.431915041
71	0.4316628001
72	0.4315604464
73	0.4314088466
74	0.4312892692
75	0.4311124254
76	0.4309657712
77	0.4308614965
78	0.4307559601
79	0.4305462397
80	0.4303639789
81	0.4302379135
82	0.4301204684
83	0.430015405
84	0.4298858881
85	0.4297511892
86	0.4295593572
87	0.4293356223
88	0.4291524847
89	0.4289505923
90	0.4289008802
91	0.4288712567
92	0.4286844868
93	0.4285087061
94	0.4284860031
95	0.4283724873
96	0.4282827602
97	0.4281518624
98	0.4280846693
99	0.4279575524
