iter	Passed	Remaining
0	200	19834
1	219	10764
2	235	7605
3	245	5883
4	251	4779
5	258	4054
6	264	3507
7	268	3087
8	274	2771
9	280	2527
10	285	2312
11	293	2150
12	298	1995
13	303	1862
14	312	1769
15	317	1665
16	323	1580
17	328	1496
18	333	1421
19	339	1357
20	344	1297
21	350	1241
22	357	1196
23	362	1148
24	367	1103
25	375	1069
26	381	1031
27	387	997
28	394	965
29	399	932
30	406	905
31	411	875
32	416	846
33	423	821
34	428	795
35	432	769
36	439	748
37	445	726
38	449	703
39	458	687
40	463	667
41	469	648
42	476	631
43	481	612
44	488	596
45	493	578
46	497	561
47	504	546
48	509	530
49	514	514
50	520	500
51	525	484
52	529	469
53	536	456
54	541	442
55	545	428
56	552	417
57	557	403
58	563	391
59	569	379
60	574	367
61	580	355
62	586	344
63	591	332
64	600	323
65	604	311
66	609	300
67	616	289
68	620	278
69	625	268
70	632	258
71	637	247
72	641	237
73	648	227
74	653	217
75	658	207
76	665	198
77	669	188
78	674	179
79	681	170
80	687	161
81	692	151
82	698	142
83	702	133
84	707	124
85	713	116
86	719	107
87	727	99
88	732	90
89	737	81
90	744	73
91	749	65
92	754	56
93	760	48
94	765	40
95	770	32
96	778	24
97	783	15
98	789	7
99	795	0
